ProductID,Zip,Units,Revenue,Country
725,H1B,1,1385.37,Australia
2235,H1B,2,1573.74,Australia
713,H1B,1,1920.87,Australia
574,H1B,1,10429.65,Australia
94,H1B,1,10395,Australia
609,H1B,1,9346.05,Australia
2064,H1B,2,11716.74,Australia
714,H1B,1,1920.87,Australia
826,H1B,1,11339.37,Australia
2149,H1B,2,10456.74,Australia
992,H1B,1,3464.37,Australia
726,M4X,1,1385.37,Australia
725,M4X,1,1385.37,Australia
910,M4X,1,4976.37,Australia
727,R3T,1,755.37,Australia
1426,R3T,1,3432.24,Australia
1182,R3T,1,1889.37,Australia
976,R3T,1,3779.37,Australia
758,R3T,1,1007.37,Australia
1112,R3T,1,1397.97,Australia
1425,R3T,1,3432.24,Australia
740,R3G,1,2046.87,Australia
604,R3G,1,5540.85,Australia
726,R3G,1,1385.37,Australia
758,R3G,1,1007.37,Australia
1131,R3G,1,5039.37,Australia
753,R3G,1,2928.87,Australia
2234,R3G,1,786.87,Australia
739,R3G,1,2046.87,Australia
768,R3G,1,1259.37,Australia
725,R3G,1,1385.37,Australia
728,R3G,1,755.37,Australia
757,R3G,1,1007.37,Australia
1956,R3G,2,3690.54,Australia
606,R3G,1,3776.85,Australia
754,R3G,1,2928.87,Australia
2235,R3G,1,786.87,Australia
658,R3G,1,10832.85,Australia
758,M5P,1,1007.37,Australia
1110,M5P,1,2519.37,Australia
663,M5P,1,9185.4,Australia
727,M5P,1,755.37,Australia
2277,M5P,1,3023.37,Australia
1109,M5P,1,2519.37,Australia
1120,R3V,1,2078.37,Australia
786,R3V,1,818.37,Australia
2380,R3V,1,3527.37,Australia
1990,R3V,1,3086.37,Australia
1066,R3V,1,3558.87,Australia
1426,M5R,1,3432.24,Australia
2064,M5R,1,5858.37,Australia
796,M5R,1,3306.87,Australia
1894,M6G,1,8186.85,Australia
2234,M6G,1,786.87,Australia
599,M6G,1,9043.65,Australia
475,M6G,1,11642.4,Australia
550,M6G,1,4847.85,Australia
1974,R3S,1,629.37,Australia
2234,R3N,1,786.87,Australia
2254,R3N,1,692.37,Australia
990,R3N,1,5669.37,Australia
2234,L5P,2,1573.74,Australia
1517,L5P,1,1699.74,Australia
